%1. Title: MIT FULL TESTING
% 
%
%      
%      
%      
%
@RELATION testMIT

@ATTRIBUTE Amplitude   NUMERIC
@ATTRIBUTE 1Behind     NUMERIC
@ATTRIBUTE 1Forward    NUMERIC
@ATTRIBUTE RR          NUMERIC
@ATTRIBUTE HR1Behind   NUMERIC
@ATTRIBUTE HR          NUMERIC
@ATTRIBUTE HR1FORWARD  NUMERIC
@ATTRIBUTE CLASS       {0,1,2,3,4,5}

@DATA
-0.2,-0.155,-0.225,0.7944444444444444,77,75,74,0
-0.225,-0.2,-0.19,0.8083333333333333,75,74,72,0
-0.19,-0.225,-0.24,0.8333333333333334,74,72,71,0
-0.24,-0.19,-0.255,0.8444444444444444,72,71,71,0
-0.255,-0.24,-0.225,0.8361111111111111,71,71,73,0
-0.225,-0.255,-0.23,0.8166666666666667,71,73,76,0
-0.23,-0.225,-0.22,0.7833333333333333,73,76,76,0
-0.22,-0.23,-0.23,0.7833333333333333,76,76,75,0
-0.23,-0.22,-0.185,0.7916666666666666,76,75,72,0
-0.185,-0.23,-0.18,0.825,75,72,74,0
-0.18,-0.185,-0.205,0.8083333333333333,72,74,74,0
-0.205,-0.18,-0.2,0.8055555555555556,74,74,74,0
-0.2,-0.205,-0.155,0.8055555555555556,74,74,74,0
-0.155,-0.2,-0.15,0.8083333333333333,74,74,71,0
-0.15,-0.155,-0.12,0.8388888888888889,74,71,69,0
-0.12,-0.15,-0.18,0.8694444444444445,71,69,67,0
-0.18,-0.12,-0.115,0.8888888888888888,69,67,65,0
-0.115,-0.18,-0.22,0.9138888888888889,67,65,62,0
-0.22,-0.115,-0.24,0.9555555555555556,65,62,65,0
-0.24,-0.22,-0.265,0.9222222222222223,62,65,69,0
-0.265,-0.24,-0.23,0.8611111111111112,65,69,67,0
-0.23,-0.265,-0.175,0.8944444444444445,69,67,67,0
-0.175,-0.23,-0.23,0.8916666666666667,67,67,65,0
-0.23,-0.175,-0.095,0.9194444444444444,67,65,62,0
-0.095,-0.23,-0.1,0.9555555555555556,65,62,65,0
-0.1,-0.095,-0.105,0.9194444444444444,62,65,68,0
-0.105,-0.1,-0.12,0.8805555555555555,65,68,68,0
-0.12,-0.105,-0.21,0.8777777777777778,68,68,68,0
-0.21,-0.12,-0.26,0.8722222222222222,68,68,68,0
-0.26,-0.21,-0.23,0.8777777777777778,68,68,67,0
-0.23,-0.26,-0.18,0.8888888888888888,68,67,64,0
-0.18,-0.23,-0.25,0.9277777777777778,67,64,65,0
-0.25,-0.18,-0.215,0.9166666666666666,64,65,71,0
-0.215,-0.25,-0.18,0.8444444444444444,65,71,71,0
-0.18,-0.215,-0.23,0.8388888888888889,71,71,66,0
-0.23,-0.18,-0.16,0.9083333333333333,71,66,65,0
-0.16,-0.23,-0.21,0.9166666666666666,66,65,64,0
-0.21,-0.16,-0.215,0.9333333333333333,65,64,67,0
-0.215,-0.21,-0.18,0.8833333333333333,64,67,69,0
-0.18,-0.215,-0.14,0.8694444444444445,67,69,69,0
-0.14,-0.18,-0.18,0.8583333333333333,69,69,68,0
-0.18,-0.14,-0.165,0.8777777777777778,69,68,71,0
-0.165,-0.18,-0.19,0.8388888888888889,68,71,73,0
-0.19,-0.165,-0.265,0.8166666666666667,71,73,69,0
-0.265,-0.19,-0.205,0.8666666666666667,73,69,68,0
-0.205,-0.265,-0.16,0.875,69,68,70,0
-0.16,-0.205,-0.175,0.85,68,70,72,0
-0.175,-0.16,-0.28,0.8305555555555556,70,72,71,0
-0.28,-0.175,-0.285,0.8361111111111111,72,71,72,0
-0.285,-0.28,-0.29,0.825,71,72,66,0
-0.29,-0.285,-0.255,0.9027777777777778,72,66,66,0
-0.255,-0.29,-0.24,0.9,66,66,69,0
-0.24,-0.255,-0.175,0.8694444444444445,66,69,68,0
-0.175,-0.24,-0.13,0.875,69,68,71,0
-0.13,-0.175,-0.1,0.8416666666666667,68,71,71,0
-0.1,-0.13,-0.14,0.8361111111111111,71,71,72,0
-0.14,-0.1,-0.105,0.8305555555555556,71,72,71,0
-0.105,-0.14,-0.095,0.8388888888888889,72,71,69,0
-0.095,-0.105,-0.125,0.8611111111111112,71,69,68,0
-0.125,-0.095,-0.145,0.875,69,68,72,0
-0.145,-0.125,-0.21,0.8305555555555556,68,72,75,0
-0.21,-0.145,-0.235,0.8,72,75,71,0
-0.235,-0.21,-0.26,0.8361111111111111,75,71,70,0
-0.26,-0.235,-0.23,0.8555555555555555,71,70,69,0
-0.23,-0.26,-0.235,0.8611111111111112,70,69,68,0
-0.235,-0.23,-0.25,0.8722222222222222,69,68,70,0
-0.25,-0.235,-0.225,0.8472222222222222,68,70,69,0
-0.225,-0.25,-0.24,0.8666666666666667,70,69,70,0
-0.24,-0.225,-0.255,0.8555555555555555,69,70,71,0
-0.255,-0.24,-0.265,0.8444444444444444,70,71,69,0
-0.265,-0.255,-0.29,0.8583333333333333,71,69,66,0
-0.29,-0.265,-0.325,0.8972222222222223,69,66,66,0
-0.325,-0.29,-0.195,0.9055555555555556,66,66,65,0
-0.195,-0.325,-0.225,0.9194444444444444,66,65,67,0
-0.225,-0.195,-0.22,0.8833333333333333,65,67,69,0
-0.22,-0.225,-0.215,0.8638888888888889,67,69,68,0
-0.215,-0.22,-0.33,0.8805555555555555,69,68,68,0
-0.33,-0.215,-0.285,0.8777777777777778,68,68,67,0
-0.285,-0.33,-0.195,0.8916666666666667,68,67,66,0
-0.195,-0.285,-0.35,0.9083333333333333,67,66,82,0
-0.35,-0.195,-0.125,0.7305555555555555,66,82,332,0
-0.125,-0.35,-0.335,0.18055555555555555,82,332,100,5
-0.335,-0.125,-0.18,0.6,332,100,234,0
-0.18,-0.335,-0.305,0.25555555555555554,100,234,74,5
-0.305,-0.18,-0.33,0.8027777777777778,234,74,77,0
-0.33,-0.305,-0.25,0.7722222222222223,74,77,75,0
-0.25,-0.33,-0.23,0.7944444444444444,77,75,213,0
-0.23,-0.25,-0.1,0.28055555555555556,75,213,110,0
-0.1,-0.23,-0.265,0.5444444444444444,213,110,73,5
-0.265,-0.1,-0.285,0.8194444444444444,110,73,73,0
-0.285,-0.265,-0.32,0.8138888888888889,73,73,78,0
-0.32,-0.285,-0.26,0.7666666666666667,73,78,77,0
-0.26,-0.32,-0.2,0.7722222222222223,78,77,77,0
-0.2,-0.26,-0.23,0.7722222222222223,77,77,80,0
-0.23,-0.2,-0.21,0.75,77,80,77,0
-0.21,-0.23,-0.31,0.775,80,77,73,0
-0.31,-0.21,-0.255,0.8111111111111111,77,73,74,0
-0.255,-0.31,-0.285,0.8027777777777778,73,74,71,0
-0.285,-0.255,-0.365,0.8361111111111111,74,71,73,0
-0.365,-0.285,-0.315,0.8138888888888889,71,73,76,0
-0.315,-0.365,-0.225,0.7861111111111111,73,76,75,0
-0.225,-0.315,-0.2,0.7944444444444444,76,75,72,0
-0.2,-0.225,-0.195,0.8305555555555556,75,72,71,0
-0.195,-0.2,-0.245,0.8388888888888889,72,71,69,0
-0.245,-0.195,-0.23,0.8611111111111112,71,69,69,0
-0.23,-0.245,-0.26,0.8611111111111112,69,69,72,0
-0.26,-0.23,-0.24,0.8305555555555556,69,72,72,0
-0.24,-0.26,-0.09,0.8222222222222222,72,72,74,0
-0.09,-0.24,-0.105,0.8027777777777778,72,74,76,0
-0.105,-0.09,-0.195,0.7888888888888889,74,76,74,0
-0.195,-0.105,-0.225,0.8027777777777778,76,74,71,0
-0.225,-0.195,-0.16,0.8444444444444444,74,71,71,0
-0.16,-0.225,-0.195,0.8444444444444444,71,71,72,0
-0.195,-0.16,-0.295,0.825,71,72,77,0
-0.295,-0.195,-0.29,0.7694444444444445,72,77,77,0
-0.29,-0.295,-0.195,0.775,77,77,80,0
-0.195,-0.29,-0.06,0.75,77,80,77,0
-0.06,-0.195,-0.18,0.775,80,77,74,0
-0.18,-0.06,-0.13,0.8027777777777778,77,74,72,0
-0.13,-0.18,-0.115,0.8277777777777777,74,72,75,0
-0.115,-0.13,-0.175,0.7944444444444444,72,75,75,0
-0.175,-0.115,-0.14,0.7972222222222223,75,75,77,0
-0.14,-0.175,-0.205,0.7722222222222223,75,77,78,0
-0.205,-0.14,-0.245,0.7611111111111111,77,78,79,0
-0.245,-0.205,-0.35,0.7583333333333333,78,79,76,0
-0.35,-0.245,0.01,0.7833333333333333,79,76,73,0
0.01,-0.35,-0.065,0.8138888888888889,76,73,73,0
-0.065,0.01,-0.075,0.8166666666666667,73,73,75,0
-0.075,-0.065,-0.145,0.7944444444444444,73,75,77,0
-0.145,-0.075,-0.21,0.7777777777777778,75,77,78,0
-0.21,-0.145,-0.135,0.7611111111111111,77,78,72,0
-0.135,-0.21,-0.18,0.8222222222222222,78,72,72,0
-0.18,-0.135,-0.255,0.825,72,72,73,0
-0.255,-0.18,-0.2,0.8138888888888889,72,73,72,0
-0.2,-0.255,-0.145,0.8277777777777777,73,72,70,0
-0.145,-0.2,-0.21,0.8472222222222222,72,70,71,0
-0.21,-0.145,-0.245,0.8361111111111111,70,71,72,0
-0.245,-0.21,-0.265,0.8222222222222222,71,72,72,0
-0.265,-0.245,-0.235,0.8333333333333334,72,72,69,0
-0.235,-0.265,-0.215,0.8638888888888889,72,69,64,0
-0.215,-0.235,-0.23,0.9277777777777778,69,64,63,0
-0.23,-0.215,-0.175,0.9444444444444444,64,63,64,0
-0.175,-0.23,-0.17,0.9333333333333333,63,64,68,0
-0.17,-0.175,-0.195,0.8805555555555555,64,68,72,0
-0.195,-0.17,-0.12,0.825,68,72,71,0
-0.12,-0.195,-0.15,0.8416666666666667,72,71,67,0
-0.15,-0.12,-0.18,0.8916666666666667,71,67,66,0
-0.18,-0.15,-0.22,0.9,67,66,65,0
-0.22,-0.18,-0.24,0.9222222222222223,66,65,64,0
-0.24,-0.22,-0.185,0.9277777777777778,65,64,67,0
-0.185,-0.24,-0.16,0.8916666666666667,64,67,70,0
-0.16,-0.185,-0.135,0.8527777777777777,67,70,70,0
-0.135,-0.16,-0.135,0.8472222222222222,70,70,70,0
-0.135,-0.135,-0.19,0.85,70,70,65,0
-0.19,-0.135,-0.2,0.9222222222222223,70,65,65,0
-0.2,-0.19,-0.22,0.9194444444444444,65,65,71,0
-0.22,-0.2,-0.1,0.8361111111111111,65,71,69,0
-0.1,-0.22,-0.12,0.8694444444444445,71,69,67,0
-0.12,-0.1,-0.105,0.8944444444444445,69,67,211,0
-0.105,-0.12,-0.015,0.2833333333333333,67,211,98,0
-0.015,-0.105,0.355,0.6083333333333333,211,98,218,5
0.355,-0.015,-0.32,0.275,98,218,99,0
-0.32,0.355,-0.535,0.6027777777777777,218,99,64,5
-0.535,-0.32,-0.355,0.9333333333333333,99,64,66,0
-0.355,-0.535,-0.155,0.9027777777777778,64,66,64,0
-0.155,-0.355,-0.075,0.9305555555555556,66,64,71,0
-0.075,-0.155,-0.02,0.8388888888888889,64,71,68,0
-0.02,-0.075,-0.07,0.8777777777777778,71,68,65,0
-0.07,-0.02,-0.12,0.9194444444444444,68,65,65,0
-0.12,-0.07,-0.115,0.9166666666666666,65,65,67,0
-0.115,-0.12,-0.045,0.8861111111111111,65,67,63,0
-0.045,-0.115,-0.045,0.9416666666666667,67,63,66,0
-0.045,-0.045,-0.075,0.9055555555555556,63,66,70,0
-0.075,-0.045,-0.095,0.8555555555555555,66,70,69,0
-0.095,-0.075,-0.085,0.8666666666666667,70,69,67,0
-0.085,-0.095,-0.105,0.8944444444444445,69,67,65,0
-0.105,-0.085,-0.13,0.9222222222222223,67,65,63,0
-0.13,-0.105,-0.13,0.9472222222222222,65,63,66,0
-0.13,-0.13,-0.13,0.9027777777777778,63,66,70,0
-0.13,-0.13,-0.1,0.85,66,70,69,0
-0.1,-0.13,-0.075,0.8611111111111112,70,69,69,0
-0.075,-0.1,-0.03,0.8638888888888889,69,69,66,0
-0.03,-0.075,-0.015,0.9027777777777778,69,66,64,0
-0.015,-0.03,-0.05,0.9305555555555556,66,64,64,0
-0.05,-0.015,-0.11,0.9305555555555556,64,64,64,0
-0.11,-0.05,-0.16,0.9333333333333333,64,64,69,0
-0.16,-0.11,-0.105,0.8666666666666667,64,69,69,0
-0.105,-0.16,-0.105,0.8611111111111112,69,69,69,0
-0.105,-0.105,-0.1,0.8638888888888889,69,69,65,0
-0.1,-0.105,-0.12,0.9138888888888889,69,65,65,0
-0.12,-0.1,-0.115,0.9166666666666666,65,65,67,0
-0.115,-0.12,-0.085,0.8944444444444445,65,67,70,0
-0.085,-0.115,-0.105,0.8472222222222222,67,70,73,0
-0.105,-0.085,-0.065,0.8138888888888889,70,73,69,0
-0.065,-0.105,-0.14,0.8666666666666667,73,69,68,0
-0.14,-0.065,-0.095,0.8805555555555555,69,68,66,0
-0.095,-0.14,-0.055,0.9083333333333333,68,66,63,0
-0.055,-0.095,-0.055,0.9444444444444444,66,63,68,0
-0.055,-0.055,-0.135,0.8805555555555555,63,68,66,0
-0.135,-0.055,-0.15,0.9,68,66,68,0
-0.15,-0.135,-0.11,0.8805555555555555,66,68,69,0
-0.11,-0.15,-0.055,0.8694444444444445,68,69,66,0
-0.055,-0.11,-0.015,0.9055555555555556,69,66,63,0
-0.015,-0.055,-0.045,0.9388888888888889,66,63,65,0
-0.045,-0.015,-0.035,0.9166666666666666,63,65,64,0
-0.035,-0.045,-0.07,0.9361111111111111,65,64,65,0
-0.07,-0.035,-0.085,0.9138888888888889,64,65,67,0
-0.085,-0.07,-0.065,0.8888888888888888,65,67,66,0
-0.065,-0.085,-0.105,0.9083333333333333,67,66,63,0
-0.105,-0.065,-0.15,0.9472222222222222,66,63,62,0
-0.15,-0.105,-0.155,0.9555555555555556,63,62,60,0
-0.155,-0.15,-0.16,0.9916666666666667,62,60,64,0
-0.16,-0.155,-0.145,0.9361111111111111,60,64,70,0
-0.145,-0.16,-0.155,0.8555555555555555,64,70,71,0
-0.155,-0.145,-0.135,0.8416666666666667,70,71,69,0
-0.135,-0.155,-0.13,0.8583333333333333,71,69,64,0
-0.13,-0.135,-0.105,0.9277777777777778,69,64,62,0
-0.105,-0.13,-0.14,0.9583333333333334,64,62,63,0
-0.14,-0.105,-0.14,0.9388888888888889,62,63,66,0
-0.14,-0.14,-0.095,0.8972222222222223,63,66,65,0
-0.095,-0.14,-0.08,0.9166666666666666,66,65,65,0
-0.08,-0.095,-0.125,0.9166666666666666,65,65,64,0
-0.125,-0.08,-0.12,0.9277777777777778,65,64,66,0
-0.12,-0.125,-0.095,0.9055555555555556,64,66,62,0
-0.095,-0.12,-0.08,0.9555555555555556,66,62,63,0
-0.08,-0.095,-0.13,0.9472222222222222,62,63,69,0
-0.13,-0.08,-0.1,0.8583333333333333,63,69,70,0
-0.1,-0.13,-0.13,0.8555555555555555,69,70,64,0
-0.13,-0.1,-0.125,0.9361111111111111,70,64,62,0
-0.125,-0.13,-0.15,0.9611111111111111,64,62,64,0
-0.15,-0.125,-0.135,0.9277777777777778,62,64,68,0
-0.135,-0.15,-0.105,0.8777777777777778,64,68,71,0
-0.105,-0.135,-0.135,0.8444444444444444,68,71,69,0
-0.135,-0.105,-0.09,0.8638888888888889,71,69,69,0
-0.09,-0.135,-0.1,0.8583333333333333,69,69,69,0
-0.1,-0.09,-0.1,0.8694444444444445,69,69,61,0
-0.1,-0.1,-0.11,0.9694444444444444,69,61,62,0
-0.11,-0.1,-0.09,0.9611111111111111,61,62,63,0
-0.09,-0.11,-0.035,0.9388888888888889,62,63,65,0
-0.035,-0.09,-0.085,0.9138888888888889,63,65,65,0
-0.085,-0.035,-0.07,0.9222222222222223,65,65,62,0
-0.07,-0.085,-0.105,0.9611111111111111,65,62,61,0
-0.105,-0.07,-0.115,0.9833333333333333,62,61,59,0
-0.115,-0.105,-0.105,1.0027777777777778,61,59,63,0
-0.105,-0.115,-0.105,0.9416666666666667,59,63,63,0
-0.105,-0.105,-0.105,0.9388888888888889,63,63,65,0
-0.105,-0.105,-0.115,0.9222222222222223,63,65,65,0
-0.115,-0.105,-0.15,0.9111111111111111,65,65,62,0
-0.15,-0.115,-0.16,0.9611111111111111,65,62,61,0
-0.16,-0.15,-0.115,0.975,62,61,61,0
-0.115,-0.16,-0.115,0.9833333333333333,61,61,62,0
-0.115,-0.115,-0.07,0.9527777777777777,61,62,63,0
-0.07,-0.115,-0.15,0.9444444444444444,62,63,63,0
-0.15,-0.07,-0.155,0.9444444444444444,63,63,62,0
-0.155,-0.15,-0.175,0.9611111111111111,63,62,63,0
-0.175,-0.155,-0.205,0.9444444444444444,62,63,60,0
-0.205,-0.175,-0.14,1.0,63,60,61,0
-0.14,-0.205,-0.09,0.9777777777777777,60,61,65,0
-0.09,-0.14,-0.095,0.9166666666666666,61,65,65,0
-0.095,-0.09,-0.055,0.9138888888888889,65,65,64,0
-0.055,-0.095,-0.12,0.9333333333333333,65,64,59,0
-0.12,-0.055,-0.155,1.0083333333333333,64,59,59,0
-0.155,-0.12,-0.205,1.0055555555555555,59,59,61,0
-0.205,-0.155,-0.175,0.9777777777777777,59,61,62,0
-0.175,-0.205,-0.235,0.9527777777777777,61,62,65,0
-0.235,-0.175,-0.125,0.9111111111111111,62,65,63,0
-0.125,-0.235,-0.145,0.9388888888888889,65,63,63,0
-0.145,-0.125,-0.12,0.9444444444444444,63,63,60,0
-0.12,-0.145,-0.075,0.9916666666666667,63,60,59,0
-0.075,-0.12,-0.17,1.0138888888888888,60,59,62,0
-0.17,-0.075,-0.15,0.9611111111111111,59,62,64,0
-0.15,-0.17,-0.175,0.9277777777777778,62,64,66,0
-0.175,-0.15,-0.19,0.9,64,66,62,0
-0.19,-0.175,-0.165,0.9583333333333334,66,62,59,0
-0.165,-0.19,-0.115,1.0027777777777778,62,59,59,0
-0.115,-0.165,-0.1,1.011111111111111,59,59,63,0
-0.1,-0.115,-0.08,0.9444444444444444,59,63,62,0
-0.08,-0.1,-0.075,0.9583333333333334,63,62,63,0
-0.075,-0.08,-0.095,0.95,62,63,62,0
-0.095,-0.075,-0.095,0.9527777777777777,63,62,58,0
-0.095,-0.095,-0.165,1.025,62,58,58,0
-0.165,-0.095,-0.155,1.0333333333333334,58,58,60,0
-0.155,-0.165,-0.225,0.9944444444444445,58,60,66,0
-0.225,-0.155,-0.16,0.9055555555555556,60,66,65,0
-0.16,-0.225,-0.19,0.9138888888888889,66,65,63,0
-0.19,-0.16,-0.155,0.9388888888888889,65,63,64,0
-0.155,-0.19,-0.08,0.9305555555555556,63,64,68,0
-0.08,-0.155,-0.065,0.8777777777777778,64,68,64,0
-0.065,-0.08,-0.08,0.925,68,64,67,0
-0.08,-0.065,-0.115,0.8888888888888888,64,67,65,0
-0.115,-0.08,-0.13,0.9166666666666666,67,65,66,0
-0.13,-0.115,-0.12,0.8972222222222223,65,66,64,0
-0.12,-0.13,-0.125,0.9361111111111111,66,64,59,0
-0.125,-0.12,-0.09,1.0166666666666666,64,59,60,0
-0.09,-0.125,-0.08,0.9972222222222222,59,60,61,0
-0.08,-0.09,-0.045,0.975,60,61,64,0
-0.045,-0.08,-0.135,0.9305555555555556,61,64,67,0
-0.135,-0.045,-0.045,0.8916666666666667,64,67,62,0
-0.045,-0.135,-0.03,0.9555555555555556,67,62,60,0
-0.03,-0.045,-0.095,0.9888888888888889,62,60,60,0
-0.095,-0.03,-0.08,1.0,60,60,59,0
-0.08,-0.095,-0.17,1.011111111111111,60,59,62,0
-0.17,-0.08,-0.165,0.9666666666666667,59,62,62,0
-0.165,-0.17,-0.15,0.9583333333333334,62,62,60,0
-0.15,-0.165,-0.17,0.9888888888888889,62,60,59,0
-0.17,-0.15,-0.21,1.0083333333333333,60,59,56,0
-0.21,-0.17,-0.145,1.0583333333333333,59,56,57,0
-0.145,-0.21,-0.155,1.038888888888889,56,57,60,0
-0.155,-0.145,-0.15,0.9916666666666667,57,60,60,0
-0.15,-0.155,-0.125,0.9944444444444445,60,60,59,0
-0.125,-0.15,-0.085,1.0138888888888888,60,59,58,0
-0.085,-0.125,-0.09,1.0277777777777777,59,58,58,0
-0.09,-0.085,-0.165,1.0277777777777777,58,58,58,0
-0.165,-0.09,-0.23,1.025,58,58,66,0
-0.23,-0.165,0.555,0.9083333333333333,58,66,900,0
0.555,-0.23,-0.06,0.06666666666666667,66,900,60,5
-0.06,0.555,-0.27,0.9916666666666667,900,60,348,4
-0.27,-0.06,-0.105,0.17222222222222222,60,348,61,0
-0.105,-0.27,-0.29,0.9833333333333333,348,61,81,5
-0.29,-0.105,-0.355,0.7333333333333333,61,81,61,5
-0.355,-0.29,-0.34,0.9694444444444444,81,61,62,0
-0.34,-0.355,-0.21,0.9583333333333334,61,62,64,0
-0.21,-0.34,-0.205,0.925,62,64,65,0
-0.205,-0.21,-0.195,0.9138888888888889,64,65,64,0
-0.195,-0.205,-0.185,0.9305555555555556,65,64,62,0
-0.185,-0.195,-0.1,0.9611111111111111,64,62,59,0
-0.1,-0.185,-0.16,1.0138888888888888,62,59,58,0
-0.16,-0.1,-0.17,1.0222222222222221,59,58,63,0
-0.17,-0.16,-0.16,0.9472222222222222,58,63,66,0
-0.16,-0.17,-0.185,0.9,63,66,64,0
-0.185,-0.16,-0.165,0.9305555555555556,66,64,64,0
-0.165,-0.185,-0.07,0.925,64,64,66,0
-0.07,-0.165,-0.1,0.9055555555555556,64,66,65,0
-0.1,-0.07,-0.075,0.9194444444444444,66,65,67,0
-0.075,-0.1,-0.085,0.8916666666666667,65,67,66,0
-0.085,-0.075,-0.11,0.9027777777777778,67,66,69,0
-0.11,-0.085,0.0,0.8611111111111112,66,69,71,0
0.0,-0.11,-0.03,0.8388888888888889,69,71,65,0
-0.03,0.0,-0.065,0.9194444444444444,71,65,60,0
-0.065,-0.03,-0.08,0.9861111111111112,65,60,60,0
-0.08,-0.065,-0.055,0.9888888888888889,60,60,62,0
-0.055,-0.08,-0.05,0.9527777777777777,60,62,65,0
-0.05,-0.055,-0.015,0.9166666666666666,62,65,62,0
-0.015,-0.05,-0.055,0.9666666666666667,65,62,60,0
-0.055,-0.015,-0.095,0.9888888888888889,62,60,60,0
-0.095,-0.055,-0.1,0.9916666666666667,60,60,60,0
-0.1,-0.095,-0.095,0.9916666666666667,60,60,63,0
-0.095,-0.1,-0.145,0.9444444444444444,60,63,65,0
-0.145,-0.095,-0.12,0.9166666666666666,63,65,66,0
-0.12,-0.145,-0.115,0.9055555555555556,65,66,63,0
-0.115,-0.12,-0.065,0.9388888888888889,66,63,59,0
-0.065,-0.115,-0.07,1.0138888888888888,63,59,59,0
-0.07,-0.065,-0.09,1.0027777777777778,59,59,62,0
-0.09,-0.07,-0.085,0.9583333333333334,59,62,63,0
-0.085,-0.09,-0.125,0.9388888888888889,62,63,65,0
-0.125,-0.085,-0.115,0.9222222222222223,63,65,67,0
-0.115,-0.125,-0.135,0.8944444444444445,65,67,63,0
-0.135,-0.115,-0.13,0.9472222222222222,67,63,61,0
-0.13,-0.135,-0.145,0.9833333333333333,63,61,58,0
-0.145,-0.13,-0.125,1.0194444444444444,61,58,63,0
-0.125,-0.145,-0.15,0.95,58,63,69,0
-0.15,-0.125,-0.175,0.8694444444444445,63,69,66,0
-0.175,-0.15,-0.15,0.9055555555555556,69,66,68,0
-0.15,-0.175,-0.145,0.8777777777777778,66,68,63,0
-0.145,-0.15,-0.105,0.9444444444444444,68,63,65,0
-0.105,-0.145,-0.115,0.9166666666666666,63,65,65,0
-0.115,-0.105,-0.155,0.9111111111111111,65,65,69,0
-0.155,-0.115,-0.22,0.8611111111111112,65,69,69,0
-0.22,-0.155,-0.24,0.8583333333333333,69,69,69,0
-0.24,-0.22,-0.185,0.8611111111111112,69,69,64,0
-0.185,-0.24,-0.175,0.9305555555555556,69,64,59,0
-0.175,-0.185,-0.18,1.0055555555555555,64,59,57,0
-0.18,-0.175,-0.185,1.0444444444444445,59,57,58,0
-0.185,-0.18,-0.195,1.025,57,58,62,0
-0.195,-0.185,-0.155,0.9638888888888889,58,62,60,0
-0.155,-0.195,-0.17,0.9888888888888889,62,60,56,0
-0.17,-0.155,-0.215,1.0666666666666667,60,56,111,0
-0.215,-0.17,-0.195,0.5388888888888889,56,111,50,0
-0.195,-0.215,-0.15,1.1833333333333333,111,50,59,2
-0.15,-0.195,-0.155,1.0055555555555555,50,59,62,0
